STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;JA_N;JA_TT;JA_TX;JA_TN;JA_FK;JA_SD_S;JA_MX_FX;JA_MX_TX;JA_MX_TN;QN_6;JA_RR;JA_MX_RS;eor
       1078;19400101;19401231;    5;  -999;   8.82;    -999;    5.00;-999;-999;-999;-999;-999;    5;   820.0;-999;eor
       1078;19410101;19411231;    5;  -999;   9.37;    -999;    5.73;-999;-999;-999;-999;-999;    5;   672.0;-999;eor
       1078;19420101;19421231;    5;  -999;   9.28;    -999;    5.47;-999;-999;-999;-999;-999;    5;   602.0;-999;eor
       1078;19430101;19431231;    5;  -999;  10.64;    -999;    6.35;-999;-999;-999;-999;-999;    5;   612.0;-999;eor
       1078;19440101;19441231;    5;  -999;  10.10;    -999;    5.92;-999;-999;-999;-999;-999;    5;   819.0;-999;eor
       1078;19700101;19701231;    5;  5.38;   9.76;   13.50;    5.97;    2.76; 1445.60;-999;  31.4; -14.5;    5;   848.3;   27.8;eor
       1078;19710101;19711231;    5;  5.02;  10.38;   14.61;    6.04;    2.52; 1632.40;  25.1;  32.0; -16.1;    5;   653.4;   30.1;eor
       1078;19720101;19721231;    5;  5.11;   9.80;   13.79;    5.77;    2.56; 1476.00;  31.0;  33.7; -11.6;    5;   652.6;   31.9;eor
       1078;19730101;19731231;    5;  5.15;  10.19;   14.43;    6.04;    2.71; 1648.90;  32.8;  33.4; -13.1;    5;   571.2;   21.3;eor
       1078;19740101;19741231;    5;  5.55;  10.68;   14.55;    6.72;    2.91; 1412.90;  28.5;  33.2;  -6.0;    5;   934.7;   28.7;eor
       1078;19750101;19751231;    5;  5.26;  10.88;   14.91;    6.76;    2.64; 1654.80;  27.5;  33.3; -10.1;    5;   605.4;   19.0;eor
       1078;19760101;19761231;    5;  4.76;  10.84;   15.05;    6.20;    2.68; 1835.60;  33.0;  36.6; -14.6;    5;   526.7;   33.8;eor
       1078;19770101;19771231;    5;  5.54;  10.66;   14.26;    6.79;    2.75; 1384.60;  25.0;  31.4;  -6.6;    5;   712.8;   38.6;eor
       1078;19780101;19781231;    5;  5.55;   9.81;   13.55;    6.00;    2.73; 1364.50;  32.7;  32.4; -15.3;    5;   688.5;   26.4;eor
       1078;19790101;19791231;    5;  5.52;   9.57;   13.38;    5.75;    2.75; 1397.00;  26.4;  31.3; -19.0;    5;   795.5;   24.0;eor
       1078;19800101;19801231;    5;  5.42;   9.99;   13.78;    6.14;    2.84; 1454.80;  25.8;  32.6; -10.4;    5;   783.3;   30.6;eor
       1078;19810101;19811231;   10;  5.61;  10.07;   13.91;    6.27;    2.83; 1280.00;  29.0;  31.3; -11.8;   10;   966.4;   40.3;eor
