STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_6;MO_NSH;MO_RR;MO_SH_S;MX_RS;eor
       5619;19041101;19041130;    5;   -999;   133.0;-999;-999;eor
       5619;19041201;19041231;    5;   -999;   127.0;-999;-999;eor
       5619;19050101;19050131;    5;   -999;    84.0;-999;-999;eor
       5619;19050201;19050228;    5;   -999;    90.0;-999;-999;eor
       5619;19050301;19050331;    5;   -999;   135.0;-999;-999;eor
       5619;19050401;19050430;    5;   -999;   102.0;-999;-999;eor
       5619;19050501;19050531;    5;   -999;    57.0;-999;-999;eor
       5619;19050601;19050630;    5;   -999;    59.0;-999;-999;eor
       5619;19050701;19050731;    5;   -999;    99.0;-999;-999;eor
       5619;19050801;19050831;    5;   -999;    98.0;-999;-999;eor
       5619;19050901;19050930;    5;   -999;   124.0;-999;-999;eor
       5619;19051001;19051031;    5;   -999;   219.0;-999;-999;eor
       5619;19051101;19051130;    5;   -999;    93.0;-999;-999;eor
       5619;19051201;19051231;    5;   -999;    51.0;-999;-999;eor
       5619;19060101;19060131;    5;   -999;   195.0;-999;-999;eor
       5619;19060201;19060228;    5;   -999;   195.0;-999;-999;eor
       5619;19060301;19060331;    5;   -999;   151.0;-999;-999;eor
       5619;19060401;19060430;    5;   -999;    60.0;-999;-999;eor
       5619;19060501;19060531;    5;   -999;   129.0;-999;-999;eor
       5619;19060601;19060630;    5;   -999;   111.0;-999;-999;eor
       5619;19060701;19060731;    5;   -999;    56.0;-999;-999;eor
       5619;19060801;19060831;    5;   -999;   107.0;-999;-999;eor
       5619;19060901;19060930;    5;   -999;    47.0;-999;-999;eor
       5619;19061001;19061031;    5;   -999;    98.0;-999;-999;eor
       5619;19061101;19061130;    5;   -999;   161.0;-999;-999;eor
       5619;19061201;19061231;    5;   -999;   208.0;-999;-999;eor
       5619;19070101;19070131;    5;   -999;    99.0;-999;-999;eor
       5619;19070201;19070228;    5;   -999;   140.0;-999;-999;eor
       5619;19070301;19070331;    5;   -999;   135.0;-999;-999;eor
       5619;19070401;19070430;    5;   -999;    43.0;-999;-999;eor
       5619;19070501;19070531;    5;   -999;   135.0;-999;-999;eor
       5619;19070601;19070630;    5;   -999;   115.0;-999;-999;eor
       5619;19070701;19070731;    5;   -999;    89.0;-999;-999;eor
       5619;19070801;19070831;    5;   -999;   112.0;-999;-999;eor
       5619;19070901;19070930;    5;   -999;    43.0;-999;-999;eor
       5619;19071001;19071031;    5;   -999;    68.0;-999;-999;eor
       5619;19071101;19071130;    5;   -999;    86.0;-999;-999;eor
       5619;19071201;19071231;    5;   -999;   121.0;-999;-999;eor
       5619;19080101;19080131;    5;   -999;   141.0;-999;-999;eor
       5619;19080201;19080229;    5;   -999;   159.0;-999;-999;eor
       5619;19080301;19080331;    5;   -999;    86.0;-999;-999;eor
       5619;19080401;19080430;    5;   -999;    87.0;-999;-999;eor
       5619;19080501;19080531;    5;   -999;   161.0;-999;-999;eor
       5619;19080601;19080630;    5;   -999;    69.0;-999;-999;eor
       5619;19080701;19080731;    5;   -999;   152.0;-999;-999;eor
       5619;19080801;19080831;    5;   -999;   167.0;-999;-999;eor
       5619;19080901;19080930;    5;   -999;    69.0;-999;-999;eor
       5619;19081001;19081031;    5;   -999;     5.0;-999;-999;eor
       5619;19081101;19081130;    5;   -999;    92.0;-999;-999;eor
       5619;19081201;19081231;    5;   -999;    60.0;-999;-999;eor
       5619;19090101;19090131;    5;   -999;    64.0;-999;-999;eor
       5619;19090201;19090228;    5;   -999;   102.0;-999;-999;eor
       5619;19090301;19090331;    5;   -999;   125.0;-999;-999;eor
       5619;19090401;19090430;    5;   -999;    85.0;-999;-999;eor
       5619;19090501;19090531;    5;   -999;    25.0;-999;-999;eor
       5619;19090601;19090630;    5;   -999;   112.0;-999;-999;eor
       5619;19090701;19090731;    5;   -999;   237.0;-999;-999;eor
       5619;19090801;19090831;    5;   -999;    72.0;-999;-999;eor
       5619;19090901;19090930;    5;   -999;   130.0;-999;-999;eor
       5619;19091001;19091031;    5;   -999;   110.0;-999;-999;eor
       5619;19091101;19091130;    5;   -999;   112.0;-999;-999;eor
       5619;19091201;19091231;    5;   -999;   218.0;-999;-999;eor
       5619;19100101;19100131;    5;   -999;   126.0;-999;-999;eor
       5619;19100201;19100228;    5;   -999;   200.0;-999;-999;eor
       5619;19100301;19100331;    5;   -999;    39.0;-999;-999;eor
       5619;19100401;19100430;    5;   -999;    93.0;-999;-999;eor
       5619;19100501;19100531;    5;   -999;    82.0;-999;-999;eor
       5619;19100601;19100630;    5;   -999;    90.0;-999;-999;eor
       5619;19100701;19100731;    5;   -999;   227.0;-999;-999;eor
       5619;19100801;19100831;    5;   -999;    84.0;-999;-999;eor
       5619;19100901;19100930;    5;   -999;   120.0;-999;-999;eor
       5619;19101001;19101031;    5;   -999;    25.0;-999;-999;eor
       5619;19101101;19101130;    5;   -999;   173.0;-999;-999;eor
       5619;19101201;19101231;    5;   -999;    80.0;-999;-999;eor
       5619;19110101;19110131;    5;   -999;    42.0;-999;-999;eor
       5619;19110201;19110228;    5;   -999;   126.0;-999;-999;eor
       5619;19110301;19110331;    5;   -999;   105.0;-999;-999;eor
       5619;19110401;19110430;    5;   -999;    70.0;-999;-999;eor
       5619;19110501;19110531;    5;   -999;    55.0;-999;-999;eor
       5619;19110601;19110630;    5;   -999;    96.0;-999;-999;eor
       5619;19110701;19110731;    5;   -999;    40.0;-999;-999;eor
       5619;19110801;19110831;    5;   -999;    33.0;-999;-999;eor
       5619;19110901;19110930;    5;   -999;    31.0;-999;-999;eor
       5619;19111001;19111031;    5;   -999;   108.0;-999;-999;eor
       5619;19111101;19111130;    5;   -999;   166.0;-999;-999;eor
       5619;19111201;19111231;    5;   -999;   190.0;-999;-999;eor
       5619;19120101;19120131;    5;   -999;   155.0;-999;-999;eor
       5619;19120201;19120229;    5;   -999;   124.0;-999;-999;eor
       5619;19120301;19120331;    5;   -999;   219.0;-999;-999;eor
       5619;19120401;19120430;    5;   -999;    61.0;-999;-999;eor
       5619;19120501;19120531;    5;   -999;    86.0;-999;-999;eor
       5619;19120601;19120630;    5;   -999;   117.0;-999;-999;eor
       5619;19120701;19120731;    5;   -999;    44.0;-999;-999;eor
       5619;19120801;19120831;    5;   -999;   282.0;-999;-999;eor
       5619;19120901;19120930;    5;   -999;   123.0;-999;-999;eor
       5619;19121001;19121031;    5;   -999;   178.0;-999;-999;eor
       5619;19121101;19121130;    5;   -999;   210.0;-999;-999;eor
       5619;19121201;19121231;    5;   -999;   222.0;-999;-999;eor
       5619;19130101;19130131;    5;   -999;   164.0;-999;-999;eor
       5619;19130201;19130228;    5;   -999;    65.0;-999;-999;eor
       5619;19130301;19130331;    5;   -999;   160.0;-999;-999;eor
       5619;19130401;19130430;    5;   -999;    79.0;-999;-999;eor
       5619;19130501;19130531;    5;   -999;    64.0;-999;-999;eor
       5619;19130601;19130630;    5;   -999;   155.0;-999;-999;eor
       5619;19130701;19130731;    5;   -999;    90.0;-999;-999;eor
       5619;19130801;19130831;    5;   -999;    29.0;-999;-999;eor
       5619;19130901;19130930;    5;   -999;    76.0;-999;-999;eor
       5619;19131001;19131031;    5;   -999;    75.0;-999;-999;eor
       5619;19131101;19131130;    5;   -999;   153.0;-999;-999;eor
       5619;19131201;19131231;    5;   -999;   186.0;-999;-999;eor
       5619;19140101;19140131;    5;   -999;    93.0;-999;-999;eor
       5619;19140201;19140228;    5;   -999;    63.0;-999;-999;eor
       5619;19140301;19140331;    5;   -999;   262.0;-999;-999;eor
       5619;19140401;19140430;    5;   -999;    71.0;-999;-999;eor
       5619;19140501;19140531;    5;   -999;   131.0;-999;-999;eor
       5619;19140601;19140630;    5;   -999;   117.0;-999;-999;eor
       5619;19140701;19140731;    5;   -999;   113.0;-999;-999;eor
       5619;19140801;19140831;    5;   -999;    69.0;-999;-999;eor
       5619;19140901;19140930;    5;   -999;   104.0;-999;-999;eor
       5619;19141001;19141031;    5;   -999;   130.0;-999;-999;eor
       5619;19141101;19141130;    5;   -999;    86.0;-999;-999;eor
       5619;19141201;19141231;    5;   -999;   168.0;-999;-999;eor
       5619;19150101;19150131;    5;   -999;   219.0;-999;-999;eor
       5619;19150201;19150228;    5;   -999;    84.0;-999;-999;eor
       5619;19150301;19150331;    5;   -999;    90.0;-999;-999;eor
       5619;19150401;19150430;    5;   -999;    80.0;-999;-999;eor
       5619;19150501;19150531;    5;   -999;    34.0;-999;-999;eor
       5619;19150601;19150630;    5;   -999;    68.0;-999;-999;eor
       5619;19150701;19150731;    5;   -999;   148.0;-999;-999;eor
       5619;19150801;19150831;    5;   -999;   159.0;-999;-999;eor
       5619;19150901;19150930;    5;   -999;    76.0;-999;-999;eor
       5619;19151001;19151031;    5;   -999;    43.0;-999;-999;eor
       5619;19151101;19151130;    5;   -999;   121.0;-999;-999;eor
       5619;19151201;19151231;    5;   -999;   254.0;-999;-999;eor
       5619;19160101;19160131;    5;   -999;   232.0;-999;-999;eor
       5619;19160201;19160229;    5;   -999;   151.0;-999;-999;eor
       5619;19160301;19160331;    5;   -999;    68.0;-999;-999;eor
       5619;19160401;19160430;    5;   -999;   125.0;-999;-999;eor
       5619;19160501;19160531;    5;   -999;    65.0;-999;-999;eor
       5619;19160601;19160630;    5;   -999;   135.0;-999;-999;eor
       5619;19160701;19160731;    5;   -999;   116.0;-999;-999;eor
       5619;19160801;19160831;    5;   -999;   106.0;-999;-999;eor
       5619;19160901;19160930;    5;   -999;    81.0;-999;-999;eor
       5619;19161001;19161031;    5;   -999;   140.0;-999;-999;eor
       5619;19161101;19161130;    5;   -999;    89.0;-999;-999;eor
       5619;19161201;19161231;    5;   -999;    90.0;-999;-999;eor
       5619;19170101;19170131;    5;   -999;   118.0;-999;-999;eor
       5619;19170201;19170228;    5;   -999;     8.0;-999;-999;eor
       5619;19170301;19170331;    5;   -999;    81.0;-999;-999;eor
       5619;19170401;19170430;    5;   -999;    87.0;-999;-999;eor
       5619;19170501;19170531;    5;   -999;    74.0;-999;-999;eor
       5619;19170601;19170630;    5;   -999;   130.0;-999;-999;eor
       5619;19170701;19170731;    5;   -999;    86.0;-999;-999;eor
       5619;19170801;19170831;    5;   -999;   187.0;-999;-999;eor
       5619;19170901;19170930;    5;   -999;    41.0;-999;-999;eor
       5619;19171001;19171031;    5;   -999;   272.0;-999;-999;eor
       5619;19171101;19171130;    5;   -999;   122.0;-999;-999;eor
       5619;19171201;19171231;    5;   -999;    68.0;-999;-999;eor
       5619;19180101;19180131;    5;   -999;   159.0;-999;-999;eor
       5619;19180201;19180228;    5;   -999;   108.0;-999;-999;eor
       5619;19180301;19180331;    5;   -999;    32.0;-999;-999;eor
       5619;19180401;19180430;    5;   -999;    58.0;-999;-999;eor
       5619;19180501;19180531;    5;   -999;    61.0;-999;-999;eor
       5619;19180601;19180630;    5;   -999;    57.0;-999;-999;eor
       5619;19180701;19180731;    5;   -999;   105.0;-999;-999;eor
       5619;19180801;19180831;    5;   -999;   130.0;-999;-999;eor
       5619;19180901;19180930;    5;   -999;   206.0;-999;-999;eor
       5619;19181001;19181031;    5;   -999;    97.0;-999;-999;eor
       5619;19181101;19181130;    5;   -999;    34.0;-999;-999;eor
       5619;19181201;19181231;    5;   -999;   262.0;-999;-999;eor
       5619;19190101;19190131;    5;   -999;    67.0;-999;-999;eor
       5619;19190201;19190228;    5;   -999;    53.0;-999;-999;eor
       5619;19190301;19190331;    5;   -999;   105.0;-999;-999;eor
       5619;19190401;19190430;    5;   -999;   101.0;-999;-999;eor
       5619;19190501;19190531;    5;   -999;    35.0;-999;-999;eor
       5619;19190601;19190630;    5;   -999;    93.0;-999;-999;eor
       5619;19190701;19190731;    5;   -999;   171.0;-999;-999;eor
       5619;19190801;19190831;    5;   -999;    78.0;-999;-999;eor
       5619;19190901;19190930;    5;   -999;    47.0;-999;-999;eor
       5619;19191001;19191031;    5;   -999;    57.0;-999;-999;eor
       5619;19191101;19191130;    5;   -999;   157.0;-999;-999;eor
       5619;19191201;19191231;    5;   -999;   300.0;-999;-999;eor
       5619;19200101;19200131;    5;   -999;   255.0;-999;-999;eor
       5619;19200201;19200229;    5;   -999;   108.0;-999;-999;eor
       5619;19200301;19200331;    5;   -999;    39.0;-999;-999;eor
       5619;19200401;19200430;    5;   -999;   158.0;-999;-999;eor
       5619;19200501;19200531;    5;   -999;    90.0;-999;-999;eor
       5619;19200601;19200630;    5;   -999;    25.0;-999;-999;eor
       5619;19200701;19200731;    5;   -999;   150.0;-999;-999;eor
       5619;19200801;19200831;    5;   -999;   150.0;-999;-999;eor
       5619;19200901;19200930;    5;   -999;    90.0;-999;-999;eor
       5619;19201001;19201031;    5;   -999;    29.0;-999;-999;eor
       5619;19201101;19201130;    5;   -999;    42.0;-999;-999;eor
       5619;19201201;19201231;    5;   -999;   106.0;-999;-999;eor
       5619;19210101;19210131;    5;   -999;   252.0;-999;-999;eor
       5619;19210201;19210228;    5;   -999;    24.0;-999;-999;eor
       5619;19210301;19210331;    5;   -999;    51.0;-999;-999;eor
       5619;19210401;19210430;    5;   -999;    38.0;-999;-999;eor
       5619;19210501;19210531;    5;   -999;    66.0;-999;-999;eor
       5619;19210601;19210630;    5;   -999;    90.0;-999;-999;eor
       5619;19210701;19210731;    5;   -999;    32.0;-999;-999;eor
       5619;19210801;19210831;    5;   -999;    40.0;-999;-999;eor
       5619;19210901;19210930;    5;   -999;    81.0;-999;-999;eor
       5619;19211001;19211031;    5;   -999;    67.0;-999;-999;eor
       5619;19211101;19211130;    5;   -999;    50.0;-999;-999;eor
       5619;19211201;19211231;    5;   -999;   152.0;-999;-999;eor
       5619;19220101;19220131;    5;   -999;   154.0;-999;-999;eor
