STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;JA_N;JA_TT;JA_TX;JA_TN;JA_FK;JA_SD_S;JA_MX_FX;JA_MX_TX;JA_MX_TN;QN_6;JA_RR;JA_MX_RS;eor
       4371;19310101;19311231;    5;  -999;   8.37;    -999;    -999;-999;-999;-999;-999;-999;    5;   848.0;-999;eor
       4371;19320101;19321231;    5;  -999;   9.12;    -999;    -999;-999;-999;-999;-999;-999;    5;   692.0;-999;eor
       4371;19330101;19331231;    5;  -999;   8.36;    -999;    -999;-999;-999;-999;-999;-999;    5;   603.0;-999;eor
       4371;19340101;19341231;    5;  -999;  10.36;    -999;    -999;-999;-999;-999;-999;-999;    5;   587.0;-999;eor
       4371;19350101;19351231;    5;  5.23;   9.40;   13.77;    5.10;    1.62;-999;-999;  31.9; -12.0;    5;   744.6;   27.8;eor
       4371;19360101;19361231;    5;  5.52;   9.27;   13.53;    5.19;    1.46;-999;-999;  30.9; -12.6;    5;   879.7;   43.1;eor
       4371;19370101;19371231;    5;  5.73;   9.42;   13.74;    5.19;    2.02; 1472.20;-999;  34.9;  -9.6;    5;   744.7;   19.6;eor
       4371;19380101;19381231;    5;  5.43;   9.57;   13.80;    5.18;    2.21; 1626.90;-999;  32.9; -19.5;    5;   709.7;   33.8;eor
       4371;19390101;19391231;    5;  5.58;   9.32;   13.32;    5.18;    2.04; 1554.50;-999;  30.9; -11.0;    5;   952.3;   47.1;eor
       4371;19400101;19401231;    5;  5.64;   7.38;   11.65;    2.95;    1.96; 1547.40;-999;  29.4; -24.0;    5;   825.6;   32.6;eor
       4371;19410101;19411231;    5;  5.73;   8.25;   12.23;    4.08;    2.00; 1564.10;-999;  33.0; -18.5;    5;   855.9;   38.0;eor
       4371;19420101;19421231;    5;  5.62;   8.07;   12.18;    3.88;    2.03; 1570.50;-999;  32.1; -28.0;    5;   628.2;   20.0;eor
       4371;19430101;19431231;    5;  5.83;   9.69;   14.04;    5.49;    1.94; 1675.80;-999;  35.4; -17.0;    5;   650.6;   27.2;eor
       4371;19440101;19441231;    5;  6.23;   9.20;   13.15;    5.51;    1.97; 1482.30;-999;  34.4;  -9.8;    5;   886.5;   30.6;eor
       4371;19500101;19501231;    5;  5.69;   9.45;   13.30;    5.73;    2.37; 1553.30;-999;  31.0; -13.0;    5;   803.4;   38.2;eor
       4371;19510101;19511231;    5;  5.53;   9.67;   13.70;    5.83;    2.33; 1647.10;-999;  31.6;  -5.5;    5;   984.9;   56.7;eor
       4371;19520101;19521231;-999;-999;-999;-999;-999;-999;-999;-999;  34.3; -10.0;-999;-999;   18.5;eor
       4371;19530101;19531231;    5;  5.58;   9.81;   14.03;    5.96;    2.15; 1670.50;-999;  32.7; -17.2;    5;   681.8;   24.2;eor
       4371;19540101;19541231;    5;  5.62;   8.71;   12.60;    4.91;    2.54; 1525.10;-999;  31.3; -15.6;    5;   940.1;   40.6;eor
       4371;19550101;19551231;    5;  5.61;   8.34;   12.38;    4.44;    2.29; 1581.00;-999;  29.8; -13.8;    5;   747.9;   28.1;eor
       4371;19560101;19561231;    5;  5.88;   7.73;   11.60;    4.17;    2.41; 1358.50;-999;  27.5; -23.5;    5;  1036.9;   62.6;eor
       4371;19570101;19571231;    5;  5.88;   9.62;   13.58;    5.90;    2.33; 1496.20;-999;  34.6; -15.6;    5;   836.0;   33.5;eor
       4371;19580101;19581231;    5;  6.04;   9.13;   12.97;    5.85;    2.29; 1375.30;-999;  29.1; -11.5;    5;   870.6;   29.4;eor
       4371;19590101;19591231;    5;  4.83;  10.18;   15.16;    5.63;    1.89; 1940.20;-999;  35.2;  -7.5;    5;   393.4;   23.9;eor
       4371;19600101;19601231;    5;  5.99;   9.37;   13.21;    5.94;    2.08; 1277.70;-999;  29.4; -16.5;    5;   906.4;   40.8;eor
       4371;19610101;19611231;    5;  5.66;   9.72;   13.78;    6.10;    2.12; 1274.30;-999;  32.1; -12.1;    5;  1069.0;   25.1;eor
       4371;19620101;19621231;    5;  5.88;   7.83;   11.57;    4.35;    2.03; 1160.30;-999;  28.3; -15.6;    5;   705.6;   40.3;eor
       4371;19630101;19631231;    5;  5.48;   7.90;   12.18;    3.90;    1.90; 1619.00;-999;  33.5; -19.7;    5;   656.6;   25.3;eor
       4371;19640101;19641231;    5;  5.26;   9.11;   13.27;    5.15;    1.94; 1708.40;-999;  34.9; -12.4;    5;   556.6;   24.1;eor
       4371;19650101;19651231;    5;  5.80;   8.36;   12.20;    5.05;    1.93; 1329.20;-999;  28.4; -11.0;    5;   977.2;   24.1;eor
       4371;19660101;19661231;    5;  6.06;   9.40;   13.09;    6.12;    2.01; 1308.50;-999;  33.5; -12.0;    5;   886.5;   30.8;eor
       4371;19670101;19671231;    5;  5.66;   9.84;   13.69;    6.40;    2.02; 1490.70;-999;  30.0; -10.5;    5;   850.5;   26.4;eor
       4371;19680101;19681231;    5;  5.61;   9.11;   12.95;    5.69;    1.93; 1433.50;-999;  30.8; -20.1;    5;   724.7;   34.7;eor
       4371;19690101;19691231;    5;  5.57;   8.83;   12.78;    5.29;    1.96; 1473.50;-999;  33.6; -13.5;    5;   774.1;   25.1;eor
       4371;19700101;19701231;    5;  5.70;   8.69;   12.40;    5.28;    2.02; 1403.50;-999;  29.9; -12.9;    5;   925.7;   36.6;eor
       4371;19710101;19711231;    5;  5.40;   9.32;   13.43;    5.52;    1.82; 1579.80;  22.9;  31.2; -15.2;    5;   645.9;   21.6;eor
       4371;19720101;19721231;    5;  5.34;   8.77;   12.60;    5.21;    1.90; 1457.60;  32.4;  31.4; -13.2;    5;   756.8;   28.5;eor
       4371;19730101;19731231;    5;  5.61;   9.30;   13.14;    5.73;    1.93; 1514.20;  30.4;  33.1; -14.6;    5;   653.5;   20.3;eor
       4371;19740101;19741231;    5;  6.00;   9.82;   13.48;    6.40;    2.08; 1351.60;  26.5;  33.0;  -2.5;    5;   864.2;   34.1;eor
       4371;19750101;19751231;    5;  5.55;   9.95;   13.85;    6.40;    1.84; 1609.80;  27.0;  31.9;  -8.0;    5;   670.2;   25.7;eor
       4371;19760101;19761231;    5;  5.34;   9.53;   13.52;    5.51;    1.74; 1703.70;  32.9;  33.8; -12.2;    5;   586.6;   18.9;eor
       4371;19770101;19771231;    5;  5.74;   9.69;   13.26;    6.24;    1.83; 1296.20;  25.0;  29.2;  -6.5;    5;   717.4;   26.2;eor
       4371;19780101;19781231;    5;  5.82;   8.79;   12.32;    5.45;    1.82; 1300.50;-999;  29.8; -17.8;    5;   831.4;   37.1;eor
       4371;19790101;19791231;    5;  5.88;   8.54;   12.16;    5.06;    1.85; 1320.30;  26.7;  29.5; -18.7;    5;   885.3;   41.5;eor
       4371;19800101;19801231;    5;  5.52;   8.91;   12.55;    5.41;    1.95; 1477.50;  23.6;  30.7; -10.4;    5;   872.1;   94.4;eor
       4371;19810101;19811231;   10;  5.90;   9.14;   12.74;    5.63;    1.86; 1306.90;  24.0;  30.7; -14.1;   10;  1024.3;   47.6;eor
       4371;19820101;19821231;   10;  5.08;  10.15;   14.15;    6.35;    1.79; 1731.20;  24.7;  31.7; -14.6;   10;   726.2;   24.0;eor
       4371;19830101;19831231;   10;  5.38;  10.13;   14.05;    6.13;    1.90; 1521.30;  28.8;  33.4; -10.2;   10;   794.5;   30.4;eor
       4371;19840101;19841231;   10;  5.83;   9.24;   12.83;    5.74;    1.88; 1290.60;  31.6;  32.8;  -6.9;   10;   916.2;   29.6;eor
       4371;19850101;19851231;   10;  5.66;   8.40;   12.23;    4.57;    1.81; 1445.50;  25.7;  32.4; -17.9;   10;   734.8;   25.8;eor
       4371;19860101;19861231;   10;  5.57;   8.88;   12.78;    4.82;    1.94; 1539.30;  29.9;  32.8; -18.8;   10;   858.0;   27.3;eor
       4371;19870101;19871231;   10;  5.88;   8.41;   12.02;    4.78;    1.80; 1284.80;  24.2;  31.7; -20.6;   10;   935.0;   63.2;eor
       4371;19880101;19881231;   10;  6.01;  10.10;   13.70;    6.81;-999; 1283.70;-999;  29.7;  -7.4;   10;   869.1;   25.0;eor
       4371;19890101;19891231;   10;  5.16;  10.56;   14.81;    6.65;    1.70; 1753.20;  24.2;  32.2;  -6.9;   10;   692.3;   39.5;eor
       4371;19900101;19901231;   10;  5.57;  10.70;   14.66;    6.86;    1.84; 1559.40;  34.5;  35.2;  -4.4;   10;   789.3;   39.4;eor
       4371;19910101;19911231;   10;  5.29;   9.36;   13.37;    5.61;    1.68; 1638.20;  24.6;  33.3; -13.9;    9;   727.4;   26.7;eor
       4371;19920101;19921231;   10;  5.46;  10.13;   13.96;    6.45;    1.97;-999;  32.9;  36.5;  -9.1;    9;   764.0;   35.8;eor
       4371;19930101;19931231;   10;  5.54;   8.87;   12.62;    5.40;    2.11; 1399.00;-999;  28.8; -12.8;    9;   978.7;   42.8;eor
       4371;19940101;19941231;   10;  5.65;  10.08;   13.89;    6.55;    2.17; 1449.90;  27.3;  34.4; -11.6;    9;   992.9;   35.9;eor
       4371;19950101;19951231;   10;  5.59;   9.49;   13.45;    5.79;    2.11; 1525.80;  27.3;  33.4; -13.2;    9;   719.5;   22.2;eor
       4371;19960101;19961231;   10;  5.55;   7.68;   11.49;    4.26;    2.01; 1394.10;  22.1;  32.0; -16.3;    9;   640.3;   42.1;eor
       4371;19970101;19971231;   10;  5.47;   9.52;   13.51;    5.85;    2.03; 1612.50;  23.1;  31.8; -19.1;    9;   709.1;   34.4;eor
       4371;19980101;19981231;   10;  6.06;   9.59;   13.06;    6.44;    2.21; 1199.20;-999;  31.5; -10.0;    9;  1115.1;   38.3;eor
       4371;19990101;19991231;   10;  5.57;  10.34;   14.24;    6.79;    2.21; 1577.10;  25.0;  31.8; -12.0;    9;   869.3;   45.1;eor
       4371;20000101;20001231;   10;  5.76;  10.49;   14.20;    7.22;    2.25; 1384.70;-999;  34.5;  -8.5;    9;   749.0;   23.6;eor
       4371;20010101;20011231;   10;  -999;   9.61;   13.33;    6.17;-999; 1362.10;-999;  33.3;  -9.1;    9;   888.4;   43.5;eor
       4371;20020101;20021231;   10;  -999;   9.97;   13.65;    6.53;-999; 1384.90;-999;  34.0; -11.0;    9;  1029.5;   65.2;eor
       4371;20030101;20031231;   10;  -999;   9.88;   14.18;    5.65;    2.03; 1947.60;-999;  36.4; -14.0;    9;   643.9;   38.4;eor
       4371;20040101;20041231;   10;  -999;   9.48;   13.20;    5.89;    2.10; 1517.10;-999;  30.0;  -8.6;    9;   934.6;   34.9;eor
       4371;20050101;20051231;   10;  -999;   9.74;   13.53;    6.07;    2.01;-999;  27.2;  31.6; -12.7;    9;   778.1;   36.5;eor
       4371;20060101;20061231;    3;  -999;  10.17;   13.97;    6.55;    2.12; 1678.80;  27.6;  34.6; -12.0;    9;   847.5;   35.7;eor
       4371;20070101;20071231;    3;  -999;  10.44;   14.14;    6.79;-999; 1505.00;  28.8;  33.1;  -8.0;    9;  1118.7;   55.8;eor
       4371;20080101;20081231;    3;  -999;   9.95;   13.75;    6.27;-999; 1519.60;  22.4;  32.0;  -9.5;    9;   766.7;   29.9;eor
       4371;20090101;20091231;    9;  -999;   9.82;   13.78;    5.80;    2.02; 1624.60;  20.8;  35.2; -17.4;    9;   775.9;   41.5;eor
       4371;20100101;20101231;    9;  5.52;   8.29;   12.07;    4.49;    2.11; 1456.40;  24.3;  34.8; -15.5;    9;   824.5;   95.0;eor
       4371;20110101;20111231;    3;  4.83;  10.34;   14.44;    6.39;    2.19; 1813.80;  23.4;  30.9;  -9.4;-999;-999;-999;eor
       4371;20120101;20121231;    3;  5.18;   9.63;   13.51;    5.84;    2.15; 1490.80;  24.2;  34.8; -16.5;    9;   682.0;   21.1;eor
       4371;20130101;20131231;    9;  -999;   9.15;   12.90;    5.50;    2.14; 1379.50;  23.8;  35.4; -11.9;    9;   670.8;   28.9;eor
       4371;20140101;20141231;    9;  5.15;  11.00;   15.06;    7.22;    2.04; 1514.00;  24.1;  32.0;  -6.3;    9;   796.7;   38.3;eor
       4371;20150101;20151231;    9;  -999;  10.36;   14.49;    6.40;-999; 1636.00;-999;  37.0;  -6.8;    9;   792.3;   28.3;eor
       4371;20160101;20161231;    9;  5.11;  10.13;   14.08;    6.42;    2.02; 1570.40;  24.2;  33.5; -10.3;    9;   690.9;   29.3;eor
       4371;20170101;20171231;    3;  -999;  10.22;   14.02;    6.59;-999; 1382.11;-999;  33.8;  -9.4;-999;-999;-999;eor
       4371;20180101;20181231;    3;  -999;  11.05;   15.56;    6.70;    2.05; 1982.88;  28.6;  36.4; -11.2;    9;   608.4;   29.2;eor
       4371;20190101;20191231;    3;  -999;  10.89;   15.21;    6.72;-999;-999;-999;  37.8;  -8.3;    9;   767.1;   47.3;eor
       4371;20200101;20201231;    3;  -999;  11.00;   15.20;    6.89;-999;-999;-999;  34.0;  -4.8;    3;   687.7;   31.0;eor
