STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;JA_N;JA_TT;JA_TX;JA_TN;JA_FK;JA_SD_S;JA_MX_FX;JA_MX_TX;JA_MX_TN;QN_6;JA_RR;JA_MX_RS;eor
       2497;19370101;19371231;    5;  -999;   -999;    -999;    4.23;-999;-999;-999;-999;-999;    5;   779.0;-999;eor
       2497;19380101;19381231;    5;  -999;   -999;    -999;    3.98;-999;-999;-999;-999;-999;    5;   842.0;-999;eor
       2497;19390101;19391231;    5;  -999;   -999;    -999;    3.94;-999;-999;-999;-999;-999;    5;   913.0;-999;eor
       2497;19400101;19401231;    5;  -999;   -999;    -999;    2.48;-999;-999;-999;-999;-999;    5;   907.0;-999;eor
       2497;19410101;19411231;    5;  -999;   -999;    -999;    2.90;-999;-999;-999;-999;-999;    5;   692.0;-999;eor
       2497;19420101;19421231;    5;  -999;   -999;    -999;    2.87;-999;-999;-999;-999;-999;    5;   658.0;-999;eor
       2497;19430101;19431231;    5;  -999;   -999;    -999;    4.21;-999;-999;-999;-999;-999;    5;   694.0;-999;eor
       2497;19440101;19441231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    5;   959.0;-999;eor
       2497;19450101;19451231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    5;  1065.0;-999;eor
       2497;19460101;19461231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    5;   717.0;-999;eor
       2497;19480101;19481231;    5;  4.74;   7.95;   12.26;    4.16;    1.54;-999;-999;  29.5; -15.5;    5;   802.8;   30.7;eor
       2497;19490101;19491231;    5;  4.44;   7.91;   12.47;    4.05;    1.42;-999;-999;  30.5; -14.0;    5;   786.2;   45.6;eor
       2497;19500101;19501231;    5;  4.99;   7.26;   11.36;    -999;    1.48;-999;-999;  29.0;-999;    5;   856.8;   23.7;eor
       2497;19510101;19511231;    5;  4.96;   7.34;   11.42;    4.23;    1.51;-999;-999;  28.0; -10.5;    5;   958.5;   25.4;eor
       2497;19520101;19521231;-999;-999;-999;-999;-999;-999;-999;-999;  32.4; -10.5;-999;-999;   34.1;eor
       2497;19530101;19531231;    5;  4.81;   7.75;   12.12;    3.57;    1.29;-999;-999;  31.0; -15.5;    5;   655.8;   31.0;eor
       2497;19540101;19541231;    5;  5.17;   6.56;   10.49;    3.25;    1.47;-999;-999;  28.5; -19.5;    5;   948.0;   46.9;eor
       2497;19550101;19551231;    5;  5.11;   6.48;   10.85;    -999;    1.14;-999;-999;  28.5;-999;    5;   832.8;   54.7;eor
       2497;19560101;19561231;    5;  5.36;   5.66;    9.72;    2.49;    1.18;-999;-999;  27.5; -21.0;    5;  1010.2;   79.9;eor
       2497;19570101;19571231;    5;  5.31;   7.41;   11.39;    4.11;    1.41;-999;-999;  32.0; -10.5;    5;   840.7;   46.5;eor
       2497;19580101;19581231;    5;  5.58;   6.96;   10.79;    3.81;    1.73;-999;-999;  27.0; -14.0;    5;   898.2;   28.0;eor
       2497;19590101;19591231;    5;  4.37;   8.34;   13.00;    4.35;    1.78;-999;-999;  32.0; -10.0;    5;   536.5;   20.7;eor
       2497;19600101;19601231;    5;  5.73;   7.20;   10.88;    4.05;    1.87;-999;-999;  28.0; -17.0;    5;   735.7;   35.4;eor
       2497;19610101;19611231;    5;  5.29;   7.97;   11.88;    4.49;    1.84;-999;-999;  29.8; -12.5;    5;   887.3;   31.5;eor
       2497;19620101;19621231;    5;  5.63;   5.86;    9.57;    2.34;    2.22;-999;-999;  26.5; -17.0;    5;   768.5;   43.9;eor
       2497;19630101;19631231;    5;  5.34;   5.89;    9.87;    2.14;    2.27;-999;-999;  27.5; -20.0;    5;   591.0;   46.2;eor
       2497;19640101;19641231;    5;  5.38;   7.29;   11.28;    3.52;    2.37;-999;-999;  32.5; -11.0;    5;   645.0;   32.3;eor
       2497;19650101;19651231;    5;  5.82;   6.31;    9.94;    2.85;    2.43;-999;-999;  27.5; -12.5;    5;  1046.1;   30.1;eor
       2497;19660101;19661231;    5;  6.12;   7.36;   11.11;    3.88;    2.48;-999;-999;  29.5; -16.5;    5;  1120.4;   35.3;eor
       2497;19670101;19671231;    5;  5.74;   7.49;   11.51;    3.75;    2.50;-999;-999;  28.5; -12.5;    5;   735.0;   28.1;eor
       2497;19690101;19691231;    5;  5.74;   7.15;   11.00;    3.39;    2.46;-999;-999;  29.5; -15.5;    5;   761.8;   63.9;eor
       2497;19700101;19701231;    5;  6.05;   6.97;   10.62;    3.35;    2.53;-999;-999;  27.2; -15.0;    5;   886.5;   26.5;eor
       2497;19710101;19711231;    5;  5.39;   7.44;   11.68;    3.53;    2.42;-999;-999;  28.5; -17.2;    5;   601.9;   33.1;eor
       2497;19720101;19721231;    5;  5.78;   6.88;   10.76;    3.35;    2.54;-999;-999;  29.0; -17.5;    5;   651.2;   39.2;eor
       2497;19730101;19731231;    5;  5.76;   7.26;   11.23;    3.55;    2.40;-999;-999;  29.0; -15.0;    5;   858.0;   33.8;eor
       2497;19740101;19741231;    5;  6.08;   7.57;   11.22;    4.07;    2.61;-999;-999;  29.5;  -7.5;    5;   977.1;   29.9;eor
       2497;19750101;19751231;    5;  5.75;   7.67;   11.52;    4.13;    2.37;-999;-999;  29.3; -12.4;    5;   682.5;   48.1;eor
       2497;19760101;19761231;    5;  5.37;   7.80;   12.16;    3.75;    2.39;-999;-999;  33.0; -13.0;    5;   610.7;   43.7;eor
       2497;19770101;19771231;    5;  5.84;   7.56;   11.50;    4.11;    2.50;-999;-999;  27.5; -11.0;    5;   854.0;   25.7;eor
       2497;19780101;19781231;    5;  5.96;   6.78;   10.80;    3.28;    2.46;-999;-999;  28.5; -18.0;    5;   711.1;   25.0;eor
       2497;19790101;19791231;    5;  5.98;   6.74;   10.74;    3.32;    2.85; 1431.80;-999;  27.5; -19.5;    5;   882.1;   34.0;eor
       2497;19800101;19801231;    5;  6.06;   6.90;   10.66;    3.62;    2.84; 1380.20;  27.5;  28.6; -12.8;    5;   929.9;   53.6;eor
       2497;19810101;19811231;   10;  6.17;   7.22;   11.01;    3.82;    2.73; 1297.80;-999;  28.0; -13.5;   10;  1142.0;   53.3;eor
       2497;19820101;19821231;   10;  5.47;   8.13;   12.39;    4.26;    2.53; 1621.40;-999;  30.0; -14.5;   10;   847.4;   50.6;eor
       2497;19830101;19831231;   10;  5.60;   8.11;   12.34;    4.13;    2.60; 1520.60;-999;  32.5; -15.0;   10;   837.4;   25.0;eor
       2497;19840101;19841231;   10;  5.81;   7.24;   11.08;    3.89;    2.75; 1373.90;-999;  31.0; -11.0;   10;  1168.4;   56.2;eor
       2497;19850101;19851231;   10;  5.67;   6.54;   10.74;    2.84;    2.71; 1464.60;-999;  29.5; -19.0;   10;   722.7;   29.4;eor
       2497;19860101;19861231;   10;  5.74;   6.87;   11.02;    3.13;    2.77; 1419.00;-999;  33.0; -19.8;   10;   924.1;   40.6;eor
       2497;19870101;19871231;   10;  5.91;   6.71;   10.41;    3.22;    2.75; 1314.60;-999;  29.0; -18.4;   10;   993.7;   47.0;eor
       2497;19880101;19881231;   10;  6.02;   8.01;   11.52;    4.99;    2.95; 1330.30;-999;  28.0; -11.3;   10;  1017.9;   28.8;eor
       2497;19890101;19891231;   10;  5.17;   8.89;   13.09;    5.28;    2.70; 1744.50;-999;  31.0;  -8.0;   10;   792.2;   26.3;eor
       2497;19900101;19901231;   10;  5.50;   8.49;   12.37;    5.06;    2.93; 1669.40;-999;  33.6;  -5.5;   10;   947.2;   42.4;eor
       2497;19910101;19911231;   10;  5.38;   7.47;   11.62;    3.99;    2.78; 1624.90;-999;  30.7; -20.3;    9;   745.5;   34.9;eor
       2497;19920101;19921231;   10;  5.54;   8.29;   12.28;    4.98;    2.68; 1560.00;-999;  32.6; -10.2;    9;   932.5;   55.0;eor
       2497;19930101;19931231;   10;  5.53;   7.60;   11.77;    4.31;    2.73; 1477.10;-999;  28.6; -12.4;    9;  1034.3;   42.7;eor
       2497;19940101;19941231;   10;  5.87;   8.79;   12.75;    5.54;    2.95; 1448.10;-999;  34.1; -12.0;    9;   963.3;   41.9;eor
       2497;19950101;19951231;   10;  5.67;   8.29;   12.29;    4.96;    2.87; 1526.00;-999;  32.5; -12.5;    9;   925.2;   42.9;eor
       2497;19960101;19961231;   10;  5.64;   6.56;   10.35;    3.40;    2.63; 1516.30;-999;  30.0; -16.8;    9;   661.1;   35.5;eor
       2497;19970101;19971231;   10;  5.44;   8.17;   12.18;    4.82;    2.85; 1591.40;-999;  30.0; -19.4;    9;   834.5;   58.7;eor
       2497;19980101;19981231;   10;  5.94;   8.04;   11.54;    5.02;    3.02; 1357.30;-999;  33.5; -13.4;    9;   885.1;   30.6;eor
       2497;19990101;19991231;   10;  5.73;   8.53;   12.17;    5.23;    2.76; 1606.80;-999;  28.5; -13.2;    9;   823.1;   25.0;eor
       2497;20000101;20001231;   10;  5.87;   8.74;   12.22;    5.55;    2.87; 1485.10;-999;  29.5; -11.5;    9;   865.5;   50.0;eor
       2497;20010101;20011231;   10;  5.94;   8.20;   11.87;    4.86;    2.71; 1489.60;-999;  31.0; -13.0;    9;   853.3;   25.7;eor
       2497;20020101;20021231;   10;  5.82;   8.83;   12.54;    5.52;    2.74; 1432.20;-999;  32.3; -10.5;    9;   902.0;   39.9;eor
       2497;20030101;20031231;   10;  4.94;   8.66;   13.19;    4.72;-999; 1982.10;-999;  36.0; -17.0;    9;   621.1;   31.5;eor
       2497;20040101;20041231;   10;  5.82;   7.90;   11.72;    4.37;    2.69;-999;-999;  29.0; -11.0;    9;   738.3;   27.4;eor
       2497;20050101;20051231;   10;  5.82;   8.29;   12.01;    4.62;    2.71; 1651.00;  23.4;  30.6; -14.0;    9;   755.2;   28.8;eor
       2497;20060101;20061231;   10;  5.72;   8.77;   12.59;    5.05;    2.77; 1641.40;  26.4;  32.7; -12.7;    9;   689.9;   23.9;eor
