STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;JA_N;JA_TT;JA_TX;JA_TN;JA_FK;JA_SD_S;JA_MX_FX;JA_MX_TX;JA_MX_TN;QN_6;JA_RR;JA_MX_RS;eor
       1327;19370101;19371231;    5;  5.23;   9.80;   14.30;    5.52;    2.08;-999;-999;  35.4; -15.3;    5;   574.4;   19.9;eor
       1327;19380101;19381231;    5;  5.19;   9.68;   14.32;    5.48;    2.37;-999;-999;  32.3; -23.1;    5;   619.3;   38.1;eor
       1327;19390101;19391231;    5;  5.61;   9.55;   13.91;    5.44;    2.23;-999;-999;  32.8; -13.1;    5;   599.0;   27.5;eor
       1327;19400101;19401231;    5;  5.82;   8.29;   12.67;    3.77;    2.17;-999;-999;  29.9; -20.8;    5;   606.7;   34.4;eor
       1327;19410101;19411231;    5;  5.83;   8.75;   13.04;    4.58;    2.01;-999;-999;  32.4; -13.5;    5;   589.4;   72.9;eor
       1327;19420101;19421231;    5;  5.62;   8.80;   13.22;    4.52;    1.97;-999;-999;  34.0; -21.8;    5;   498.5;   20.3;eor
       1327;19430101;19431231;    5;  5.59;  10.12;   14.81;    5.85;    1.97;-999;-999;  33.9; -14.4;    5;   560.9;   30.6;eor
       1327;19440101;19441231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    5;   611.1;   32.1;eor
       1327;19470101;19471231;    5;  5.39;  10.16;   14.97;    5.20;    2.30;-999;-999;  37.6; -20.1;    5;   452.9;   24.3;eor
       1327;19480101;19481231;    5;  5.39;  10.26;   14.90;    6.19;    2.17;-999;-999;  31.9; -12.3;    5;   549.3;   42.4;eor
       1327;19490101;19491231;    5;  5.31;  10.24;   15.37;    5.66;    2.03;-999;-999;  34.0;  -9.6;    5;   542.8;   78.2;eor
       1327;19500101;19501231;    5;  5.76;   9.63;   14.22;    5.38;    2.29;-999;-999;  32.0; -19.2;    5;   643.8;   29.4;eor
       1327;19510101;19511231;    5;  5.88;   9.64;   14.31;    5.32;    2.41;-999;-999;  30.5;  -7.7;    5;   590.0;   29.5;eor
       1327;19520101;19521231;-999;-999;-999;-999;-999;-999;-999;-999;  35.4; -11.3;-999;-999;   21.5;eor
       1327;19530101;19531231;    5;  5.71;   9.86;   14.75;    5.32;    2.21;-999;-999;  34.1; -16.2;    5;   552.3;   45.1;eor
       1327;19540101;19541231;    5;  5.25;   8.98;   13.34;    4.26;    1.75;-999;-999;  30.3; -18.5;    5;   562.8;   30.9;eor
       1327;19550101;19551231;    5;  5.07;   8.69;   13.27;    4.26;    1.44;-999;-999;  30.1; -18.2;    5;   565.0;   56.6;eor
       1327;19560101;19561231;    5;  5.33;   8.05;   12.15;    4.00;    1.80;-999;-999;  30.3; -23.2;    5;   772.4;   66.8;eor
       1327;19570101;19571231;    5;  5.27;   9.90;   14.03;    5.66;    1.88; 1683.70;-999;  36.3;  -8.5;    5;   654.6;   30.0;eor
       1327;19580101;19581231;    5;  5.42;   9.51;   13.47;    5.28;    1.75; 1601.40;-999;  29.4; -14.5;    5;   737.0;   30.6;eor
       1327;19590101;19591231;    5;  4.29;  10.31;   15.44;    5.04;    1.72; 2073.90;-999;  37.0;  -9.1;    5;   395.3;   24.5;eor
       1327;19600101;19601231;    5;  5.40;   9.60;   13.79;    5.49;    1.89; 1469.00;-999;  30.0; -21.8;    5;   683.9;   33.1;eor
       1327;19610101;19611231;    5;  5.12;  10.26;   14.65;    5.90;    2.03; 1482.30;-999;  32.6; -14.8;    5;   656.8;   54.7;eor
       1327;19620101;19621231;    5;  5.25;   8.19;   12.33;    4.02;    2.15; 1443.40;-999;  30.7; -14.4;    5;   604.8;   27.0;eor
       1327;19630101;19631231;    5;  5.09;   8.02;   12.45;    3.26;    1.90; 1468.60;-999;  30.6; -23.4;    5;   489.9;   24.6;eor
       1327;19640101;19641231;    5;  4.90;   9.50;   13.90;    5.25;    1.95; 1658.00;-999;  36.4; -15.9;    5;   528.9;   23.4;eor
       1327;19650101;19651231;    5;  5.28;   8.78;   12.80;    5.12;    2.03; 1417.10;-999;  30.1; -11.8;    5;   764.7;   23.5;eor
       1327;19660101;19661231;    5;  5.36;   9.79;   13.95;    6.01;    1.94; 1392.60;-999;  33.1; -19.0;    5;   793.9;   41.7;eor
       1327;19670101;19671231;    5;  4.92;  10.03;   14.37;    6.06;    1.92; 1647.50;-999;  31.6; -12.1;    5;   544.5;   23.1;eor
       1327;19680101;19681231;    5;  5.32;   9.28;   13.38;    5.48;    1.74; 1361.00;-999;  31.6; -13.6;    5;   706.3;   32.3;eor
       1327;19690101;19691231;    5;  5.26;   9.35;   13.81;    5.25;    1.64; 1486.90;-999;  34.6; -14.9;    5;   599.7;   39.2;eor
       1327;19700101;19701231;    5;  5.45;   9.22;   13.51;    5.36;    1.82; 1449.50;-999;  31.7; -15.0;    5;   715.2;   55.8;eor
       1327;19710101;19711231;    5;  4.82;   9.87;   14.51;    5.45;    1.57; 1613.60;-999;  31.4; -17.2;    5;   483.5;   35.0;eor
       1327;19720101;19721231;    5;  5.25;   9.23;   13.65;    5.39;    1.63; 1302.20;-999;  32.1; -10.2;    5;   489.3;   28.8;eor
       1327;19730101;19731231;    5;  5.20;   9.59;   13.85;    5.62;    1.78; 1565.30;-999;  33.0; -12.2;    5;   552.6;   18.7;eor
       1327;19740101;19741231;    5;  5.52;  10.25;   14.26;    6.38;    1.86; 1350.30;-999;  35.0;  -5.1;    5;   615.2;   31.7;eor
