STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;JA_N;JA_TT;JA_TX;JA_TN;JA_FK;JA_SD_S;JA_MX_FX;JA_MX_TX;JA_MX_TN;QN_6;JA_RR;JA_MX_RS;eor
       1590;19370101;19371231;    5;  -999;   9.77;   14.01;    6.13;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1590;19380101;19381231;    5;  -999;   9.87;   14.23;    5.97;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1590;19390101;19391231;    5;  -999;   9.83;   13.93;    5.87;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1590;19400101;19401231;    5;  -999;   8.32;   12.58;    4.27;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1590;19410101;19411231;    5;  -999;   8.90;   13.01;    5.07;-999;-999;-999;-999;-999;    5;   678.8;   22.1;eor
       1590;19420101;19421231;    5;  -999;   8.66;   12.77;    4.79;-999;-999;-999;-999;-999;    5;   622.9;   25.6;eor
       1590;19430101;19431231;    5;  -999;  10.09;   14.63;    6.03;-999;-999;-999;-999;-999;    5;   588.0;   15.6;eor
       1590;19440101;19441231;    5;  -999;   9.62;   13.67;    5.88;-999;-999;-999;-999;-999;    5;   853.6;   28.7;eor
       1590;19470101;19471231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    5;   672.9;   22.2;eor
       1590;19480101;19481231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    5;   867.1;   43.4;eor
       1590;19490101;19491231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    5;   727.5;   57.9;eor
       1590;19500101;19501231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    5;   869.3;   56.8;eor
       1590;19510101;19511231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    5;   944.8;   28.8;eor
       1590;19520101;19521231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;   53.4;eor
       1590;19530101;19531231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    5;   490.0;   26.7;eor
       1590;19540101;19541231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    5;   800.5;   55.9;eor
       1590;19550101;19551231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    5;   555.6;   18.2;eor
       1590;19560101;19561231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    5;   805.8;   67.8;eor
       1590;19570101;19571231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    5;   830.0;   29.8;eor
       1590;19580101;19581231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    5;   772.5;   32.4;eor
       1590;19590101;19591231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    5;   434.1;   20.5;eor
       1590;19600101;19601231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    5;   880.5;   49.5;eor
       1590;19610101;19611231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    5;   854.3;   23.7;eor
       1590;19620101;19621231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    5;   678.2;   27.8;eor
       1590;19630101;19631231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    5;   615.8;   30.5;eor
       1590;19640101;19641231;    5;  4.95;   9.64;   13.97;    5.48;    1.99;-999;-999;  35.2; -10.9;    5;   619.2;   26.0;eor
       1590;19650101;19651231;    5;  5.20;   9.03;   13.18;    5.12;    2.10;-999;-999;  29.2;  -7.7;    5;   860.1;   29.0;eor
       1590;19660101;19661231;    5;  5.58;   9.83;   13.85;    6.37;    2.15;-999;-999;  31.6; -13.9;    5;  1010.8;   43.2;eor
       1590;19670101;19671231;    5;  5.01;  10.15;   14.25;    6.52;    1.88;-999;-999;  32.0;  -8.5;    5;   748.6;   28.8;eor
       1590;19680101;19681231;    5;  5.28;   9.61;   13.46;    5.97;    1.81;-999;-999;  31.9; -15.9;    5;   739.3;   34.5;eor
       1590;19690101;19691231;    5;  5.06;   9.58;   13.69;    5.65;    1.82;-999;-999;  33.1; -13.2;    5;   623.6;   20.2;eor
       1590;19700101;19701231;    5;  5.12;   9.48;   13.36;    5.54;    2.05;-999;-999;  30.4; -12.5;    5;   715.8;   25.7;eor
       1590;19710101;19711231;    5;  5.04;   9.96;   14.28;    5.57;    1.80;-999;-999;  31.4; -12.5;    5;   540.0;   30.8;eor
       1590;19720101;19721231;    5;  5.02;   9.40;   13.45;    5.39;    1.86;-999;-999;  32.7; -11.0;    5;   597.8;   25.0;eor
       1590;19730101;19731231;    5;  5.05;   9.81;   13.98;    5.58;    1.82;-999;-999;  32.8; -12.5;    5;   626.3;   23.8;eor
       1590;19740101;19741231;    5;  5.36;  10.20;   14.17;    6.21;    2.00;-999;-999;  29.5;  -4.0;    5;   847.7;   25.2;eor
       1590;19750101;19751231;    5;  5.12;  10.43;   14.54;    6.19;    1.62;-999;-999;  33.3;  -8.2;    5;   574.5;   32.1;eor
       1590;19760101;19761231;    5;  4.72;  10.48;   14.84;    5.88;    1.83;-999;-999;  35.9; -11.5;    5;   452.0;   22.3;eor
       1590;19770101;19771231;    5;  5.37;  10.15;   13.90;    6.27;    1.98;-999;-999;  31.6;  -5.5;    5;   750.2;   24.9;eor
